Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
Visserie / boulonnerie / fixation – Réf. 82582823,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582823,,,À fournir par le client - Leroy Merlin - Réf. 82582823,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582824,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582824,,,À fournir par le client - Leroy Merlin - Réf. 82582824,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582838,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582838,,,À fournir par le client - Leroy Merlin - Réf. 82582838,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582839,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582839,,,À fournir par le client - Leroy Merlin - Réf. 82582839,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582840,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582840,,,À fournir par le client - Leroy Merlin - Réf. 82582840,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582843,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582843,,,À fournir par le client - Leroy Merlin - Réf. 82582843,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582850,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582850,,,À fournir par le client - Leroy Merlin - Réf. 82582850,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582859,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582859,,,À fournir par le client - Leroy Merlin - Réf. 82582859,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582862,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582862,,,À fournir par le client - Leroy Merlin - Réf. 82582862,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582866,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582866,,,À fournir par le client - Leroy Merlin - Réf. 82582866,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
